,0
crohn's colitis$problem,1
acute$modifier$abnormalities$problem,1
abdomen$anatomical_structure$soft$modifier$nontender$modifier$nondistended$modifier,3
pain$problem$thighs$anatomical_structure,1
4-vessel bypass$procedure,1
coagulopathy$problem,1
bilateral tympanotomy$procedure,1
oral lasix$medicine,1
loosening$finding$nucleus$anatomical_structure,1
graft$procedure$obtuse marginal$anatomical_structure$right-sided$modifier$pda$anatomical_structure,1
misoprostol induction$procedure,1
heart rate$body_measurement$156$measurement_value,1
continue$modifier$reduced$modifier$benazepril$medicine,1
radial$modifier$tear$problem$posterior$modifier$horn$anatomical_structure$medial$modifier$meniscus$anatomical_structure,1
significant$modifier$murmur$problem,1
nasal bone$anatomical_structure$fracture$problem,2
bilateral$modifier$pulmonary infiltration$problem,1
nose$anatomical_structure$positive$modifier$edema$problem,1
mri$procedure$brain$anatomical_structure,4
defect$problem,1
cesarean section$procedure,4
recurrent$modifier$falls$problem,1
low-dose$modifier$heparin$medicine,1
carcinoma$problem$prostate$anatomical_structure$t1cn0$modifier$stage ii$modifier,1
significant$modifier$possible$modifier$ischemic disease$problem,1
cefazolin$medicine,2
neutrophilic infiltrate$problem,1
copiously irrigated$procedure,1
apparent$modifier$distress$problem,1
inr$laboratory_data,9
chloride$laboratory_data,10
lungs$anatomical_structure$significant$modifier$occasional$modifier$crackles$problem,1
blood pressure med$medicine,1
medrol dose pak$medicine,1
abdomen$anatomical_structure$obese$modifier$soft$modifier$tenderness$problem,1
neurogenic bowel$problem,1
colon$anatomical_structure$polyp$problem,1
left$modifier$below-knee amputation$procedure,1
hematemesis$problem,4
pronator quadratus$anatomical_structure$incised$procedure$longitudinally$modifier,1
lethargy$finding,1
atenolol$medicine,3
abdominal ultrasound$procedure,1
surgery$procedure,40
magnesium$laboratory_data,3
injected$procedure$capsular bag$anatomical_structure,1
decreasing$modifier$visual acuity$finding,1
januvia$medicine,1
lma$medical_device,16
t11$anatomical_structure$pedicle screw fixation fusion$procedure,1
fiberoptic catheter$medical_device,1
patchy recent stromal hemorrhages$problem,1
vaginal atrophy$problem,2
knee$anatomical_structure,2
sterile eye pad$medical_device,1
ears$anatomical_structure$normal$modifier,3
extremities$anatomical_structure$cyanosis$problem,3
sleep spindles$finding,1
right$modifier$groin$anatomical_structure$wound$problem,1
blood$problem$rectal mucosa$anatomical_structure,1
cold$problem,7
pulmonary embolus$problem,2
rhonchi$problem,4
severe drop$modifier$blood pressure$body_measurement,1
facet joint arthropathy$problem$bilateral$modifier$l4-l5$anatomical_structure,1
granulomatous inflammation$problem$absent$modifier,1
febrile$finding,2
post-dural spinal headache$problem,1
percutaneous vertebroplasty$procedure$l2$anatomical_structure,1
left$modifier$pleural hemothorax$problem,1
hemoglobin$laboratory_data$stable$modifier,6
stomach$anatomical_structure$lesion$problem,1
adherent clotted blood$problem,1
dilated$finding,1
nonunion fracture$problem$sesamoid$anatomical_structure,1
inability to dorsiflex$finding$left$modifier$foot$anatomical_structure,1
hypotension$problem,7
ear$anatomical_structure$irrigated$procedure,1
duodenal bulb$anatomical_structure,2
chronic$modifier$kidney disease$problem,3
accessory muscles$anatomical_structure,1
progressive$modifier$disease$problem$chest$anatomical_structure,1
clamps$medical_device,1
enfamil intolerance$problem,1
above-knee amputation$procedure,1
fibrotic cyst$problem,1
ldh$laboratory_data,2
left$modifier$forefoot$anatomical_structure$excised$procedure,1
current$modifier$medication$medicine,2
kidneys$anatomical_structure$small$modifier$increased$modifier$parenchymal echogenicity$finding,1
reticulocyte count$laboratory_data,2
pitocin$medicine,2
senile dementia$problem,1
serial troponins$laboratory_data,1
iv fluids$medicine,13
heart rate$body_measurement$100$measurement_value,2
right$modifier$breast$anatomical_structure$cancer$problem,1
migraine$problem,1
trimmed discoid singleton placenta$finding,1
lidocaine$medicine,5
entrapment$problem$transverse$modifier$carpal ligament$anatomical_structure,1
slightly decreased$modifier$platelet count$laboratory_data,1
pulse$body_measurement$77$measurement_value$regular$modifier,1
potassium chloride$medicine,2
senna$medicine,1
general malaise$problem,1
chronic$modifier$anemia$problem,3
dorsalis pedis pulses$body_measurement,1
sinus brady$finding,1
white blood cell count$laboratory_data,4
small$modifier$nucleoli$anatomical_structure,1
manual irrigation$procedure,1
bladder$anatomical_structure$tumor$problem,1
weight$body_measurement$176$measurement_value,1
abnormal$modifier$pulses$body_measurement,1
bilateral$modifier$chronic otitis media$problem,1
catapres$medicine,2
velvety pink$finding,1
adenopathies$problem,1
pci$procedure$mid$modifier$distal$modifier$rca$anatomical_structure,1
s4$body_function,3
bun$laboratory_data$significantly$modifier$elevated$modifier,1
chronic$modifier$anticoagulation$procedure,1
weakness$finding$right$modifier$upper$modifier$arm$anatomical_structure,1
hypokalemia$problem$resolved$modifier,1
right$modifier$wrist$anatomical_structure$fracture$problem,1
tremor$problem,1
injury$problem$azygos vein$anatomical_structure,1
severe$modifier$lumbar spine disc$anatomical_structure$disease$problem,1
mild$modifier$hearing issues$problem,1
straight cup forceps$medical_device,2
leukocyte esterase$laboratory_data,1
intraocular lens$medical_device,5
persistently$modifier$elevated$modifier$inr$laboratory_data,1
deep crater ulceration$problem,1
gangrenous ulcer$problem$right$modifier$great toe$anatomical_structure,1
congestion$problem,2
gi side effects$problem,1
crystalluria$problem,1
total vaginal hysterectomy$procedure,3
leukopenia$problem,2
cervical lymph nodes$anatomical_structure,1
sugar-tong splint$medical_device,1
subarachnoid hemorrhage$problem,1
left side$modifier$paraumbilical hernia$problem,1
fatigued$finding,3
decompression surgery$procedure,1
abdomen$anatomical_structure$distended$problem,1
resp$body_measurement$22$measurement_value,1
ulcer$problem$right$modifier$ankle$anatomical_structure,1
pulse$body_measurement$84$measurement_value,2
respirations$body_function$30$measurement_value,1
external$modifier$genitalia$anatomical_structure$normal$modifier,1
orthostasis$problem,1
right$modifier$direct hernia sac$problem,2
mesoappendix$anatomical_structure,1
vitamin d$medicine,1
fascia$anatomical_structure$incised$procedure,1
segmental resection$procedure$splenic flexure$anatomical_structure,1
pills$medicine,1
steinmann testing$procedure,1
endstage kidney disease$problem,1
heart$anatomical_structure,27
moderate$modifier$copd$problem,1
continue$modifier$metoprolol$medicine,3
elevated$modifier$amylase$laboratory_data,1
dense$modifier$anterior$modifier$cortical cataract$problem$eyes$anatomical_structure,1
left$modifier$arm$anatomical_structure$swelling$problem,1
bronchoscopy$procedure,2
benign pregnancy$finding,1
screening colonoscopy evaluation$procedure,1
peptic ulcer disease$problem,5
wobbly$finding,1
umbilical cord$anatomical_structure,1
cellulitis$problem$left$modifier$foot$anatomical_structure,1
abdominal hernia$problem,1
urinary bladder$anatomical_structure$catheterized$procedure,1
gomco-bell$medical_device,1
illness$problem,3
cervical spinal cord$anatomical_structure$lesion$problem,1
vision$body_function$blurry$finding,1
non-st myocardial infarction$problem,1
acute$modifier$cerebrovascular accident$problem,1
right$modifier$ring finger$anatomical_structure$dislocation$problem,1
white cell count$laboratory_data$up$modifier,1
x-rays$procedure,3
oxycodone$medicine,4
right$modifier$median$anatomical_structure,1
knee$anatomical_structure$wound$problem,1
microscopic perforation$problem$absent$modifier,1
bone marrow$anatomical_structure$biopsy$procedure,1
local anesthesia$procedure$left$modifier$eye$anatomical_structure,1
hpv effect$problem,1
splenomegaly$problem,4
rbc$laboratory_data,2
t12 l1 space$anatomical_structure,1
diagnostic laparoscopy$procedure,2
kidney function$body_function,2
arms$anatomical_structure,1
burning$problem$urination$body_function,1
antecubitum$anatomical_structure,1
forward-viewing endoscope$medical_device,5
slightly$modifier$worsening$modifier$leukocytosis$problem,1
recent$modifier$sepsis$problem,1
peg tubes$medical_device,1
intensive colostomy$procedure$temporary$modifier,1
normal$modifier$tubes$anatomical_structure$bilaterally$modifier,1
thrombocytopenia$problem,8
inflammatory melanosis$problem,1
blindness$problem,1
ampicillin$medicine,3
trigeminal neuralgia$problem,1
ureteral orifices$anatomical_structure$normal$modifier,1
viscoelastic$medicine,9
weight$body_measurement$216$measurement_value,1
alveolar infiltrate$problem$medial$modifier$basilar segment$anatomical_structure$improved$modifier,1
subcu heparin$medicine,1
continue$modifier$bronchodilators$medicine,1
diabetes$problem,86
increased$modifier$crp$laboratory_data,1
little$modifier$incisional pain$problem,1
side effects$problem,1
swelling$problem$left$modifier$leg groin region$anatomical_structure,1
posterior$modifier$pharynx$anatomical_structure$pink$modifier$erythema$problem,1
rpr$laboratory_data,1
right$modifier$stellate ganglion block$procedure,1
recent$modifier$upper$modifier$respiratory tract infection$problem,1
gastric biopsy$procedure,2
myeloid leukemia$problem,1
multiple$modifier$comorbidities$problem,1
silver nitrate$medicine,1
rapid strep$laboratory_data$negative$modifier,1
polyps$problem,7
renal syndrome$problem,1
diovan$medicine,1
total$modifier$knee$anatomical_structure$replacement$procedure,2
right$modifier$lung$anatomical_structure$hemorrhage$problem,1
keflex$medicine,5
pulse$body_measurement$regular$modifier,1
right$modifier$ureteral stone$problem,1
glucola$laboratory_data$normal$modifier,1
abnormal septal motion$problem,1
inguinal adenopathy$problem,1
diflucan$medicine,3
anuria$problem,1
pulse$body_measurement$62$measurement_value,1
prior$modifier$surgeries$procedure,1
nose$anatomical_structure$positive$modifier$erythema$problem,1
blood type$laboratory_data$ab negative$modifier,1
stool occult blood$laboratory_data$positive$modifier,2
axillary$problem,11
labral tear$problem,2
epidermis$anatomical_structure,1
uterine contractions$finding,1
pci$procedure,6
right$modifier$lower$modifier$lobe$anatomical_structure$community-acquired pneumonia$problem,1
wellbutrin$medicine,1
food impaction$problem,1
few$modifier$focal erosions$problem,1
positive$modifier$cerebrovascular accident$problem,1
chest$anatomical_structure$scattered$modifier$rhonchi$problem,1
cea$laboratory_data$normal$modifier,1
increasing size$modifier$uterine fibroids$problem,1
wound$problem$healing$modifier,1
hip$anatomical_structure,1
respiratory$body_measurement,1
metoprolol tartrate$medicine,1
gallops$problem,1
respiration rate$body_measurement$20$measurement_value,1
sinus$anatomical_structure$tenderness$problem,1
small$modifier$myocardial infarction$problem,1
platelet transfusion$procedure,1
shaggy endometrium$anatomical_structure,1
gi$anatomical_structure,2
scar tissue$problem,2
estrogen receptor$laboratory_data$positive$modifier,6
multiple$modifier$underlying$modifier$medical problems$problem,1
hemophilia$problem,1
impotence$problem,1
wound$problem$left$modifier$knee$anatomical_structure,1
creatinine$laboratory_data$increase$modifier,1
bacterial endocarditis$problem,1
weaning$procedure,1
cholangiogram$procedure,1
whitish lesion$problem$left$modifier$vocal cord$anatomical_structure,1
stool softener$medicine,1
arterial blood gas$laboratory_data,2
polycystic kidneys$problem,1
decreased$modifier$platelets$laboratory_data,1
swelling$problem$left$modifier$foot$anatomical_structure,1
cat scan$procedure,3
vein$anatomical_structure,2
teeth$anatomical_structure$dental caries$problem,2
second portion$modifier$duodenum$anatomical_structure,2
left$modifier$breast$anatomical_structure$mass$problem,1
fev1$body_measurement,1
acute$modifier$hypoxemia$problem,1
norco$medicine,3
non-small cell carcinoma$problem,1
cellulitis$problem$right$modifier$proximal$modifier$arm$anatomical_structure,1
left$modifier$hip$anatomical_structure,1
continue$modifier$celebrex$medicine,1
recent$modifier$humerus$anatomical_structure$fracture$problem,1
transurethral resection$procedure$prostate$anatomical_structure,3
lymphatic system$anatomical_structure,1
oral platelet production stimulator$medicine,1
urinary retention$problem,2
heent$anatomical_structure$oral lesions$problem,1
complications$problem$eyes$anatomical_structure,1
arthroscopic surgery$procedure,1
coban$medicine,1
mid$modifier$upper$modifier$abdomen$anatomical_structure,1
residual$modifier$malignancy$problem,1
afp testing$laboratory_data,1
lateral$modifier$wall$anatomical_structure,2
decreased vision$problem,2
drowsy$finding,2
transabdominal ultrasound$procedure,1
combined radiation treatment$procedure,1
tubule formation$finding,1
wheeze$problem,4
nasal cannula$medical_device,3
ck$laboratory_data$low$modifier,1
bilateral$modifier$shoulder$anatomical_structure$problems$problem,1
cyanosis$problem,2
lens$anatomical_structure$hydrodissected$procedure,2
worsening$modifier$infection$problem,1
eltrombopag$medicine,1
nuclear sclerotic$problem$eyes$anatomical_structure,1
gallstones$problem,4
pulse ox$body_measurement$93%$measurement_value,1
organomegaly$problem,1
insomnia$problem,1
left$modifier$subcortical stroke$problem,1
distention$problem,4
h. pylori$problem,1
pancytopenia$problem,1
adenoid$anatomical_structure$hypertrophy$problem,1
intraoperative$modifier$fracture$problem,1
colostomy$procedure,5
gravida 1$finding,1
pressure$problem,1
pco2$body_measurement$62$measurement_value,1
endoscopic examination$procedure,1
right$modifier$cephalad$modifier$local$modifier$caudal spread$modifier$stellate ganglion$anatomical_structure,1
incise$procedure,1
iv antibiotic$medicine,3
echocardiogram$procedure,8
transverse$anatomical_structure$normal$modifier,2
glucose diabetic screen$procedure$three-hour$modifier$negative$modifier,1
posterior$modifier$pharynx$anatomical_structure$pink$modifier$lesion$problem,1
acute$modifier$injury$problem$chest$anatomical_structure,1
radiofrequency ablation$procedure,1
left-sided$modifier$rib$anatomical_structure$pain$problem,1
active bowel sounds$body_function,2
skin$anatomical_structure$jaundice$problem,2
nrbc$laboratory_data,1
supraclavicular lymphadenopathy$problem,1
superior$modifier$inferior$modifier$capsule$medical_device,1
bronchoalveolar lavage$procedure,1
grade 1$modifier$anterolisthesis$problem$l5$anatomical_structure,1
p0-1-0-0$finding,1
h&h$laboratory_data,2
umbilicus$anatomical_structure,1
sprained$problem$foot$anatomical_structure,1
polypectomy$procedure,2
hips$anatomical_structure,1
persistent$modifier$edema$problem$right$modifier$leg$anatomical_structure,1
ct scan$procedure$pelvis$anatomical_structure,3
bicarb$laboratory_data,4
ph$laboratory_data,3
temperature$body_measurement$97$measurement_value,1
hemorrhage$problem,3
white cell count$laboratory_data$low$modifier,1
seldinger technique$procedure,2
failed$modifier$bipap therapy$procedure,1
blood pressure$body_measurement$152/68$measurement_value,1
cystolitholapaxy$procedure,1
swollen$problem,1
left$modifier$lower$modifier$extremity$anatomical_structure,2
mammogram$procedure,1
ca 19-9$laboratory_data,1
abdominal bruits$problem,2
right$modifier$renal stone$problem,1
open reduction internal fixation$procedure,1
post-tonsillectomy bleed$problem,1
peripheral neuropathy$problem,2
white count$laboratory_data$down$modifier,1
negative$modifier$seizures$problem,1
helicobacter pylori$problem,1
surgical debridement$procedure,1
serosal surface$anatomical_structure$glistening$modifier,1
endotherapy$procedure,1
laceration$problem$smaller$modifier,1
pericardial friction rub$finding,2
chronic$modifier$hypotension$problem,1
nyquil$medicine,1
afb testing$laboratory_data$negative$modifier,1
troponin$laboratory_data,5
sponges$medical_device,1
pulse ox$body_measurement$83%$measurement_value,1
pupils$anatomical_structure$equal$modifier$reactive$modifier,2
cervical spinal stenosis$problem,1
plaque like lesions$problem$right$modifier$scalp vertex$anatomical_structure,1
moderate$modifier$endoscopic gastritis$problem,6
started$modifier$medical treatment$procedure,1
fissure$problem,1
temperature$body_measurement$98.3$measurement_value,1
bowel function$body_function,2
significant$modifier$endoscopic finding$finding,1
denied$modifier$shortness of breath$problem,1
lens$anatomical_structure$standard divide-and-conquer technique$procedure,1
ulceration$problem$lower$modifier$extremities$anatomical_structure,1
lens implantation$procedure$left$modifier$eye$anatomical_structure,2
benign disease$problem,2
postbronchodilator$medical_device,1
biopsies$procedure,2
olympus video high-definition colonoscope$medical_device,1
laparoscopic treatments$procedure,1
abdomen$anatomical_structure,7
regular$modifier$contractions$finding,1
blood sugars$laboratory_data$well controlled$modifier,1
balloon$medical_device,1
dermabond$medicine,2
nasal intubation$procedure,4
vomiting$problem$improved$modifier$persist$modifier,1
abdominal$anatomical_structure$pain$problem,28
cva$problem,25
elbow$anatomical_structure,1
drainage$problem$nose$anatomical_structure,1
mild$modifier$diffuse$modifier$prominent$modifier$interstitial lung markings$problem$lung bases$anatomical_structure$posteriorly$modifier,1
left$modifier$ventricular$anatomical_structure$hypertrophy$problem,1
prolonged$modifier$intubation$procedure,2
surgery$procedure$appendix$anatomical_structure,1
tracing$procedure$normal$modifier,1
median$modifier$lobe$anatomical_structure,1
adenomatous change$problem,1
injuring$problem$left$modifier$hip$anatomical_structure,1
skin$anatomical_structure$rashes$problem$moist$modifier$warm$modifier,1
abdomen$anatomical_structure$protuberant$modifier$mass effect$problem,1
echocardiogram$procedure$normal$modifier,1
colitis$problem,1
hematocrit$laboratory_data$normal$modifier,2
chronic$modifier$diarrhea$problem,1
cystic process$finding$liver$anatomical_structure,1
multiple$modifier$infections$problem,1
general$modifier$anesthetic$procedure,1
hypertension$finding,64
warm$finding$limbs$anatomical_structure,1
drop$modifier$hemoglobin$laboratory_data,1
urine drug screen$laboratory_data$negative$modifier,1
right-sided$modifier$costovertebral angle$anatomical_structure$tenderness$problem,1
significant$modifier$st changes$finding,1
renal cell carcinoma$problem,1
microscopic cleaning$procedure$ear canal$anatomical_structure,1
wheezing$problem,6
septum$anatomical_structure,2
gait$body_function,1
bases$anatomical_structure,1
right$modifier$shoulder$anatomical_structure$mass$problem,1
knee$anatomical_structure$left side$modifier,1
progesterone receptor$laboratory_data$negative$modifier,1
bun$laboratory_data,16
coarse$modifier$breath sounds$body_function$bilaterally$modifier,1
anemia$problem,36
diltiazem$medicine,3
side port$medical_device,2
restless leg syndrome$problem,2
dental mirror$medical_device,1
ddd pacemaker$medical_device,1
pulse ox$body_measurement$99$measurement_value,1
bilateral$modifier$salpingo oophorectomy$procedure,2
coronary bypass surgery$procedure,3
congestive heart failure$problem$better$modifier,1
presyncope$problem,1
contractions$finding$esophagus$anatomical_structure,1
aphonia$problem,1
weight$body_measurement$stable$modifier$284$measurement_value,1
restless sleep$finding,1
superimposed infection$problem,1
subcapsular dissection$procedure$left$modifier$thyroid lobe$anatomical_structure,1
back$anatomical_structure,4
malunion$problem,1
subretinal fluid$problem,1
stool guaiac$laboratory_data$positive$modifier,1
repeat$modifier$abg$laboratory_data,1
vertebroplasty$procedure,1
oxygen saturating$body_measurement$80s$measurement_value,1
probe$medical_device,1
nasal bone$anatomical_structure$fracture reduction$procedure,1
stent graft repair$procedure,1
dorsalis pedis$body_measurement$bilaterally$modifier,1
extremities$anatomical_structure$decreased$modifier$edema$problem,1
degenerative ligamentous change$problem,1
hemoglobin levels$laboratory_data,1
abnormal$modifier$nondiagnostic lexiscan stress ekg$procedure,1
paclitaxel$medicine,2
right$modifier$upper$modifier$extremity$anatomical_structure$weakness$finding,1
copd$problem,101
lateral$modifier$compartment$anatomical_structure$changes$finding,1
unstable$modifier$atrial flutter$problem,1
candy cane stirrup$medical_device,1
pharynx$anatomical_structure$clear$modifier,2
bladder$anatomical_structure$soft$modifier,1
troponin leak$finding,1
buspar$medicine,2
blood clot$problem,1
radial anastomosis$anatomical_structure,1
slight$modifier$postvoid dribbling$problem,1
azithromycin$medicine,1
left$modifier$biopsy$procedure,1
sentinel lymph node$anatomical_structure$biopsy$procedure,2
unremarkable$modifier$holter monitor$medical_device,1
elevated$modifier$cea$laboratory_data,1
fiberoptic catheters$medical_device,2
nasal cavities$anatomical_structure,1
posterior$modifier$neurovascular bundle$anatomical_structure$divided and ligated$procedure,1
continue$modifier$amiodarone$medicine,1
weight$body_measurement$127$measurement_value,1
peridex$medicine,1
myometrial thickness$finding,1
right$modifier$ear$anatomical_structure$cerumen impaction$problem,1
birth weight$body_measurement$6.2$measurement_value,1
eye pressures$body_measurement,1
gravida 3$finding,4
tms$anatomical_structure$intact$modifier,2
erythema$problem$mucous membranes$anatomical_structure,1
infectious disease$problem,2
negative$modifier$loss of consciousness$problem,1
chronic$modifier$urolithiasis$problem,1
worsening$modifier$lesion$problem,1
ropinirole$medicine,1
parietal region$anatomical_structure$right$modifier,1
blood$problem$esophagus$anatomical_structure,1
ulnar nerve relief$procedure,1
psa$laboratory_data,2
respiratory failure$problem,163
maxitrol$medicine,1
temp$body_measurement$98.6$measurement_value,1
transverse incision$procedure$platysma muscle$anatomical_structure,1
progressive$modifier$angina$problem,2
lacking$modifier$pathologic abnormalities$problem$some$modifier$fetal membranes$anatomical_structure,1
esophagogastric junction$anatomical_structure,1
cpap$medical_device,3
negative$modifier$nitrites$laboratory_data,1
inflammation$problem$liver bed$anatomical_structure,1
right side$modifier$forehead$anatomical_structure,1
prepared and draped$procedure,6
av ablation$procedure,2
pathologic reflexes$body_function$present$modifier,1
retroflexion$procedure$rectum$anatomical_structure,1
kidney$anatomical_structure$disease$problem,2
surgery$procedure$thumb$anatomical_structure,1
interstitial pneumonia$problem,1
troponin$laboratory_data$mildly$modifier$elevated$modifier,1
abrasion$problem$right$modifier$forearm$anatomical_structure,1
lesion$problem$channel area$anatomical_structure,1
normal$modifier$procalcitonin level$laboratory_data,1
sarcoidosis$problem,1
partial radical left bulbectomy$procedure,1
androgen deprivation therapy$procedure,1
slightly$modifier$anemic$problem,1
irrigations$procedure,1
discolored sputum$problem,1
non-st elevation mi$problem,1
carotid$anatomical_structure$significant$modifier$finding$finding,1
right$modifier$parietal stroke$problem,1
left$modifier$fistula$procedure,1
pancolitis$problem$worse$modifier$distally$modifier,1
tubes$medical_device,1
vision$body_function,4
marginal cord insertion$problem,1
cardiac labs$laboratory_data,1
right$modifier$eye$anatomical_structure$prosthesis$problem,1
balloon-assisted maturation$procedure$right$modifier$av fistula$problem,1
left$modifier$elbow$anatomical_structure$open dislocation$problem,1
sleep$body_function$stable$modifier,1
foley bag$medical_device,1
mild$modifier$left$modifier$tibial neuropathy$problem,1
visual acuity$finding,4
sensory reflex$body_function$normal$modifier,1
double dose$modifier$ppi$medicine,1
aicd$medical_device,1
breathing$body_function$comfortable$modifier,1
stds$problem,1
tramadol$medicine,2
straight catheter$medical_device,1
screening$modifier$colonoscopy$procedure,7
azacitidine$medicine,1
biafine$medicine,1
scope$medical_device,18
mild$modifier$coronary artery disease$problem,1
legs$anatomical_structure,3
intravenous fluid rehydration$procedure,1
orif$procedure$left$modifier$hip$anatomical_structure,1
automatic implantable cardioverter defibrillator$medical_device,1
peritoneal irritation$problem,1
continue$modifier$butrans patch$medicine,1
ultrasound guided paracentesis$procedure,1
back$anatomical_structure$tender$problem,1
scan$procedure,2
possibility$modifier$macrosomic baby$problem,1
gastric antrum$anatomical_structure$biopsy$procedure,1
sensory functions$body_function,1
mucocele$problem$absent$modifier,1
depressed$problem,1
sick sinus syndrome$problem,18
ostium$anatomical_structure,1
palpable$modifier$masses$problem,1
carcinoma$problem$uterus$anatomical_structure,1
squamous cell carcinoma$problem$base of$modifier$tongue$anatomical_structure$t2n2b$modifier$stage 4a$modifier,1
acute$modifier$pulmonary edema$problem,1
stage 4$modifier$sacral decubitus ulcers$problem,1
nerve$anatomical_structure$damage$problem,1
infiltrating ductal carcinoma$problem,1
complete blood count$laboratory_data,17
heart rate$body_measurement$dropped$modifier,1
acute on chronic$modifier$renal failure$problem,2
stentable lesion$problem$circumflex$anatomical_structure,1
renal function$body_function$impaired$modifier,1
scans$procedure,2
transplant$procedure,2
continue$modifier$aldactone$medicine,1
tips$procedure,7
cholecystitis$problem,4
rheumatic heart disease$problem,2
walker$medical_device,1
hyzaar$medicine,1
functional endoscopic sinus surgery$procedure,4
fluid cell count$laboratory_data,1
retroflexion showed$body_function,1
hepatitis c viral antibody$laboratory_data$positive$modifier,1
pulse ox$body_measurement$96%$measurement_value,1
significant$modifier$nausea$problem,1
hyperbilirubin$problem,1
blood pressure$body_measurement$138/77$measurement_value,1
malignant$problem$cells$anatomical_structure$absent$modifier,1
lipitor$medicine,3
stomach$anatomical_structure$g-tube placement$procedure,1
esophageal lumen$anatomical_structure$gentle insufflation$procedure,2
nail plate split$problem$longitudinally$modifier$proximal$modifier$nail fold$anatomical_structure,1
left$modifier$tka$procedure,1
right$modifier$upper$modifier$quadrant$anatomical_structure$pain$problem,2
left side$modifier$agger nasi cells$anatomical_structure,1
bell's palsy$problem,1
extremities$anatomical_structure$vascular insufficiency$problem,1
cardiopulmonary symptoms$problem,1
mild$modifier$cardiomyopathy$problem,1
temp$body_measurement$98.2$measurement_value,1
chlamydia$problem$negative$modifier,1
chronic$modifier$kidney$anatomical_structure$disease$problem,3
diagnostic$modifier$unilateral$modifier$left$modifier$mammogram$procedure,1
obstructive$modifier$sleep apnea syndrome$problem,1
bowel movement$body_function,4
right$modifier$ear$anatomical_structure$laceration$problem,1
urinary frequency$problem,1
clear$modifier$corneal wound$problem,1
alert$finding,40
aminophylline$medicine,1
previous$modifier$status epilepticus$problem,1
worsening$modifier$tachypnea$finding,1
right$modifier$femoral vein$anatomical_structure$seldinger technique$procedure,1
pulse$body_measurement$92$measurement_value,1
membranous glomerulopathy$problem,1
calcium channel blocker$medicine,1
laceration$problem$left$modifier$chest$anatomical_structure,1
biopsy forceps$medical_device,1
anemia$problem$normochromic$modifier,1
hyperparathyroidism$problem,1
high blood pressure$problem,11
carpal tunnel$problem,1
ocular tension$problem,1
splint$medical_device,2
visual balance problems$problem,1
iv narcotics$medicine,1
discrete lesions$problem,1
antiphospholipid antibody panel$laboratory_data$negative$modifier,1
supraglottic mass$problem$anterior aspect$modifier$vocal cords$anatomical_structure,1
mi$problem,17
cooperative$finding,9
umbilical cord$anatomical_structure$acute$modifier$funisitis$problem,1
blood pressure$body_measurement$170/80$measurement_value,1
flonase$medicine,2
snare cautery$medical_device,1
drained$procedure,1
gastrointestinal system$anatomical_structure$nausea$problem,1
granulation tissue$problem$frontal recesses$anatomical_structure,1
subsequent$modifier$transurethral resection$procedure,1
atrioventricular pacemaker placement$procedure,1
tightness$finding$base$modifier$neck$anatomical_structure,1
prior$modifier$cesarean section$procedure,2
pulse ox$body_measurement,1
persistent$modifier$discomfort$problem,1
hypertensive nephrosclerosis$problem,3
abdomen$anatomical_structure$draped$procedure,1
metastatic gastric cancer$problem,1
lacerations$problem$significantly$modifier$severe$modifier,1
chronic$modifier$neuropathic pain$problem,1
discharge$finding,2
tight angulation$finding,1
clots$problem,1
cauterize$procedure,2
cranial nerves$anatomical_structure$normal$modifier,1
peripheral smear$laboratory_data,1
pain$problem$resolved$modifier,1
intranasal decongestant$medicine,1
insulin-dependent diabetes mellitus$problem,2
gastrostomy site$anatomical_structure,1
head$anatomical_structure$trauma$problem,1
posterior$modifier$pharynx$anatomical_structure$pink$modifier$exudate$problem,1
hypercalcemia$problem,1
tired$finding,3
total bilirubin$laboratory_data,2
tongue retractor$medical_device,1
cataract removal$procedure$left$modifier$eye$anatomical_structure,1
lad$anatomical_structure$lesion$problem,2
enterobacter uti$problem,1
blood pressure$body_measurement$124/70$measurement_value,1
pretracheal muscle$anatomical_structure,1
perineal pain$problem,1
hypokalemia$problem,1
fluid$finding$right$modifier$middle ear$anatomical_structure,1
recent$modifier$suicidal ideation$problem,1
irrigating aspirating handpiece$medical_device,20
right$modifier$salpingo-oophorectomy$procedure,5
pain$problem$well controlled$modifier,1
loss of consciousness$problem,2
hyperkalemic$problem,1
dyspnea$problem,3
laparotomy$procedure,2
cbc$laboratory_data$stable$modifier,2
possible$modifier$esophagitis$problem,1
seizures$problem,5
seriously$modifier$depressed$problem,1
intravenous (iv) nutrition$medicine,1
fio2$body_measurement,2
rectal bleeding$problem,2
breasts$anatomical_structure$negative$modifier,1
peripheral vascular$anatomical_structure$disease$problem,4
significant$modifier$anemia$problem,1
temazepam$medicine,1
continue$modifier$heparin$medicine,1
eyes$anatomical_structure$reddening$finding,1
loss$problem$range of motion$body_function,1
cold nodule$problem$right-hand side$modifier,1
cmp$laboratory_data$better$modifier,1
pci$procedure$circumflex artery$anatomical_structure,1
hemostasis$body_function,6
oropharynx$anatomical_structure$erythematous$problem,1
vagina$anatomical_structure$prepped and draped$procedure,3
eyelid pressure bandage$medical_device,4
obliteration$problem$surface sulci$anatomical_structure,1
hemorrhoidal hematoma$problem,1
ulnar gutter splint$medical_device,1
misoprostol$medicine,1
acute$modifier$exacerbation$problem,1
biopsied$procedure$stomach$anatomical_structure,1
rectal ulcer$problem,1
